Restaurant_Types,Name,Alias,ID,Rating,Review Count,Area,Price,Restaurant Type
0,Chick-fil-A,chick-fil-a-los-angeles-14,9da1jwrQKNdt3zJGO_7AXw,3.5,921,Los Angeles,$,Chick-fil-A
1,Chick-fil-A,chick-fil-a-los-angeles-12,H1jfm47vEM5iMQx-wSZa9w,3.5,574,Los Angeles,$$,Chick-fil-A
2,Chick-fil-A,chick-fil-a-los-angeles,Fs7lKMANuifCyDjF99opRA,3.5,533,Los Angeles,$$,Chick-fil-A
3,Chick-fil-A,chick-fil-a-los-angeles-28,5JuGBCftbVW8qL6B_nCpLA,3.0,158,Los Angeles,$$,Chick-fil-A
4,Chick-fil-A,chick-fil-a-los-angeles-24,O-uYhHRebCCAYLlMKCZU7w,2.5,205,Los Angeles,$,Chick-fil-A
5,Chick-fil-A,chick-fil-a-los-angeles-8,TSRgZGwH4FeIt0aYaXImOw,3.5,429,Los Angeles,$$,Chick-fil-A
6,Chick-fil-A,chick-fil-a-los-angeles-23,903X7MzJqEW6vKkEF6IDLw,3.0,287,Los Angeles,$$,Chick-fil-A
7,Chick-fil-A,chick-fil-a-pasadena-13,NJuZK4tAiCKySKivfD66CQ,4.0,1019,Los Angeles,$,Chick-fil-A
8,Chick-fil-A,chick-fil-a-burbank-5,O45bTrgVi9pLRtAf2RsrMQ,3.0,403,Los Angeles,$$,Chick-fil-A
9,Chick-fil-A,chick-fil-a-santa-clarita-2,Ck-TQfvD5dvLnpnILg7BeQ,3.5,570,Los Angeles,$$,Chick-fil-A
10,Chick-fil-A,chick-fil-a-northridge,RsQIUUAMM5xNeHSP_M0VrQ,4.0,782,Los Angeles,$$,Chick-fil-A
11,Chick-fil-A,chick-fil-a-santa-monica,KsEHDDYKgEvAg_wAFf92rQ,2.5,184,Los Angeles,$,Chick-fil-A
12,Chick-fil-A,chick-fil-a-woodland-hills-2,G28uWlM-w-YamBefSU7p7Q,2.5,129,Los Angeles,,Chick-fil-A
13,Chick-fil-A,chick-fil-a-torrance-4,5_oKEBNoAKeO-sfB0Gzq4A,4.0,399,Los Angeles,$,Chick-fil-A
14,Chick-fil-A,chick-fil-a-torrance-2,P_Nb5j5hOriYMDfTa8h66w,3.5,700,Los Angeles,$$,Chick-fil-A
15,Chick-fil-A,chick-fil-a-cerritos,Xg-CjjT0KJ8Y_qjhru8mng,4.0,491,Los Angeles,$,Chick-fil-A
16,Chick-fil-A,chick-fil-a-carson-2,LwsJea9Aui9DYj2R4TgxEQ,2.5,87,Los Angeles,$$,Chick-fil-A
17,Chick-fil-A,chick-fil-a-santa-fe-springs,fYTRhWUqLAMjL6lIaAeZJw,3.0,3,Los Angeles,,Chick-fil-A
18,Chick-fil-A,chick-fil-a-el-segundo,LDJHfRo48QlhnvkhIQtCIA,2.5,162,Los Angeles,$,Chick-fil-A
19,Chick-fil-A,chick-fil-a-glendale-4,CCLcLfiE-6gYWg2shWO2Xw,3.0,73,Los Angeles,$$,Chick-fil-A
20,Chick Fil A,chick-fil-a-los-angeles-34,Gji7XDe7tp0AbyCCCo2OIA,2.5,121,Los Angeles,$,Chick-fil-A
21,Chick-fil-A,chick-fil-a-monterey-park-3,6L4sFW2DdDG_MILrSaXaeQ,3.0,460,Los Angeles,$,Chick-fil-A
22,Chick-fil-A,chick-fil-a-monrovia-2,lxbugg11OIVBQEJ8GzuqVQ,2.5,62,Los Angeles,$$,Chick-fil-A
23,Chick-fil-A,chick-fil-a-venice,E-dOE0xIJatyZqTcih6Asw,2.5,245,Los Angeles,$,Chick-fil-A
24,Chick-fil-A,chick-fil-a-downey,K3PblSqOvUSm8YXE3AoCPA,3.5,575,Los Angeles,$,Chick-fil-A
25,Chick-fil-A,chick-fil-a-arcadia,-87i6wOXzj5ZszfobQu7tw,3.0,121,Los Angeles,$,Chick-fil-A
26,Chick-fil-A,chick-fil-a-northridge-3,g7Mk_pgxsBevtXw5peWclA,3.0,404,Los Angeles,$$,Chick-fil-A
27,Chick-fil-A,chick-fil-a-lakewood,8beSQKMLFFG4bbwHF0A1yw,3.5,338,Los Angeles,$$,Chick-fil-A
28,Chick-fil-A,chick-fil-a-encino,DbJu6bDE0tdhG5GJ6pMxeQ,2.0,279,Los Angeles,$$,Chick-fil-A
29,Chick-fil-A,chick-fil-a-norwalk-2,W8JpaG2uHKtZBsVbVZIm2g,3.0,255,Los Angeles,$$,Chick-fil-A
30,Chick-fil-A,chick-fil-a-redondo-beach-4,T6qmAYLL_xhQQMLSdigDaA,2.5,151,Los Angeles,$$,Chick-fil-A
31,Chick-fil-A,chick-fil-a-torrance-12,wmuz5JOdXv3VgJ3n5UKg0w,2.5,165,Los Angeles,$,Chick-fil-A
32,Chick-fil-A,chick-fil-a-gardena,7wy4ONmT7qqI9ZPqTfIA8Q,2.5,194,Los Angeles,$$,Chick-fil-A
33,Chick-fil-A,chick-fil-a-los-angeles-15,Udoof7-g5jxhIyRyTnfaOw,2.5,57,Los Angeles,$,Chick-fil-A
34,Chick-fil-A,chick-fil-a-torrance-10,2pqVVnxtuWag3z1KsewkPQ,3.0,60,Los Angeles,$$,Chick-fil-A
35,Chick-fil-A,chick-fil-a-downey-17,q_eQMfQWTtNeXTMi1L4DBg,2.0,98,Los Angeles,$,Chick-fil-A
36,Chick-fil-A,chick-fil-a-long-beach-5,sJ2MiI-Wr6clLuMZmbaOYw,2.5,181,Los Angeles,,Chick-fil-A
37,Chick-fil-A,chick-fil-a-westminster-5,UgMxuIEzFxFFNzIYGypq1Q,3.5,567,Los Angeles,$,Chick-fil-A
